,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Manaure,CO,11.7751,-72.4445,79.52,79,100,10.85,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,30.31,93,0,5.75,clear sky
2,Namibe,AO,-15.1961,12.1522,68.63,77,0,8.05,clear sky
3,Nelson Bay,AU,-32.7167,152.15,60.01,96,60,9.01,broken clouds
4,Atuona,PF,-9.8,-139.0333,78.24,76,43,19.24,scattered clouds
5,Qui Nhon,VN,13.7667,109.2333,81.95,85,97,7.07,overcast clouds
6,Gizo,SB,-8.103,156.8419,82.76,74,55,8.68,broken clouds
7,Severo-Kurilsk,RU,50.6789,156.125,40.71,94,100,11.86,overcast clouds
8,Dikson,RU,73.5069,80.5464,29.79,79,100,10.76,overcast clouds
9,Norman Wells,CA,65.282,-126.8329,35.64,55,40,5.75,scattered clouds
10,Coolum Beach,AU,-26.5333,153.1,65.1,97,35,12.46,light rain
11,Talnakh,RU,69.4865,88.3972,35.53,100,100,1.97,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,37.06,75,100,18.41,overcast clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,51.1,90,100,8.05,light rain
14,Odda,NO,60.0691,6.5457,57.78,97,100,11.61,overcast clouds
15,Santa Lucia,ES,27.9117,-15.5407,65.52,60,40,27.63,scattered clouds
16,Rikitea,PF,-23.1203,-134.9692,75.42,77,36,8.34,light rain
17,Georgetown,MY,5.4112,100.3354,89.55,70,20,7.0,few clouds
18,Mataura,NZ,-46.1927,168.8643,51.48,90,99,10.85,overcast clouds
19,Fare,PF,-16.7,-151.0167,80.8,72,1,15.68,clear sky
20,Zarubino,RU,42.63,131.0922,53.96,96,99,6.71,overcast clouds
21,Nicoya,CR,10.1483,-85.452,75.47,90,99,0.07,overcast clouds
22,Slave Lake,CA,55.2834,-114.769,44.58,70,100,6.91,overcast clouds
23,Suez,EG,29.9737,32.5263,89.56,20,0,8.97,clear sky
24,Camopi,GF,3.1655,-52.3158,73.63,96,90,2.08,overcast clouds
25,Baculin,PH,7.4525,126.5842,79.74,81,100,3.2,overcast clouds
26,Tasiilaq,GL,65.6145,-37.6368,34.74,99,100,3.44,overcast clouds
27,Wanaka,NZ,-44.7,169.15,41.11,89,13,1.01,few clouds
28,New Norfolk,AU,-42.7826,147.0587,45.72,82,1,2.46,clear sky
29,Vanimo,PG,-2.6741,141.3028,79.39,88,61,6.42,broken clouds
30,Gondanglegi,ID,-7.7479,112.0132,79.03,87,67,2.57,broken clouds
31,Stara Synyava,UA,49.6032,27.6191,63.07,43,2,6.06,clear sky
32,Abashiri,JP,44.0213,144.2697,48.94,93,75,4.61,mist
33,Carnarvon,AU,-24.8667,113.6333,70.75,59,61,11.52,broken clouds
34,Yellowknife,CA,62.456,-114.3525,28.92,74,20,4.61,few clouds
35,Rudnogorsk,RU,57.2639,103.7519,70.18,35,65,3.53,broken clouds
36,Lencois Paulista,BR,-22.5986,-48.8003,59.49,68,0,4.47,clear sky
37,Ostrovnoy,RU,68.0531,39.5131,33.53,91,100,13.65,overcast clouds
38,Zahesi,GE,41.8246,44.7536,65.91,50,46,20.74,scattered clouds
39,Alyangula,AU,-13.8483,136.4192,77.23,74,81,8.21,broken clouds
40,Jiuquan,CN,39.7432,98.5174,86.99,13,100,27.76,overcast clouds
41,Taksimo,RU,56.3444,114.8794,62.53,45,100,3.38,overcast clouds
42,Auki,SB,-8.7676,160.7034,77.77,87,61,3.51,broken clouds
43,Mocuba,MZ,-16.8392,36.9856,76.66,75,82,1.3,broken clouds
44,Barrow,US,71.2906,-156.7887,24.82,93,100,0.0,mist
45,Bethel,US,41.3712,-73.414,58.35,68,40,5.75,scattered clouds
46,Dillon,US,34.4166,-79.3712,71.94,96,100,8.3,overcast clouds
47,Busselton,AU,-33.65,115.3333,62.92,67,58,12.71,broken clouds
